cIdx,spList,medoid,prior,purity
0,"[(1,Rp),(1948,Rp)]",1,Rp,1.0
1,"[(2,Rp),(1268,Rp)]",2,Rp,1.0
2,"[(3,Rp),(266,Rp),(1094,Rp),(1463,Rp)]",1463,Rp,1.0
3,"[(4,Lp),(1466,Lp),(1919,Rp)]",4,Lp,0.6666667
4,"[(692,Rp),(825,Lp),(1056,Rp),(1064,Lp),(1109,Rp),(1567,Rp)]",1109,Rp,0.6666667
5,"[(6,Rp),(1038,Rp),(1062,Rp),(1653,Rp)]",1038,Rp,1.0
6,"[(7,Rp),(1068,Rp),(1450,Rp),(1614,Rp),(1616,Rp),(1654,Rp),(1655,Noth),(1774,Rp)]",1655,Rp,0.875
7,"[(8,Lp)]",8,Lp,1.0
8,"[(9,Noth),(10,Noth),(516,Rp),(1474,Noth)]",516,Noth,0.75
9,"[(704,Rp),(891,Lp),(1607,Rp),(1682,Noth),(1684,Noth),(1685,Noth),(1762,Noth),(1763,Noth),(1764,Rp),(1795,Rp),(1879,Rp)]",1607,Rp,0.45454547
10,"[(11,Rp),(1255,Rp)]",11,Rp,1.0
11,"[(12,Rp),(20,Rp)]",12,Rp,1.0
12,"[(13,Rp),(541,Lp),(861,Noth)]",13,Lp,0.33333334
13,"[(14,Noth),(21,Rp)]",14,Rp,0.5
14,"[(909,Noth),(1137,Noth),(1231,Rp),(1233,Rp)]",1233,Rp,0.5
15,"[(16,Rp)]",16,Rp,1.0
16,"[(15,Rp),(17,Rp)]",17,Rp,1.0
17,"[(18,Noth),(860,Lp)]",18,Lp,0.5
18,"[(19,Rp),(1019,Rp)]",19,Rp,1.0
19,"[(424,Rp),(547,Lp),(720,Lp),(1183,Lp),(1475,Rp),(1572,Noth),(1610,Lp),(1868,Lp)]",720,Lp,0.625
20,"[(555,Rp),(557,Rp),(561,Noth),(575,Noth),(576,Rp),(578,Rp),(985,Noth),(986,Rp),(988,Noth),(989,Rp),(990,Noth),(995,Rp),(996,Noth)]",990,Rp,0.53846157
21,"[(22,Lp),(426,Lp),(661,Noth),(721,Rp),(1197,Rp),(1210,Rp),(1485,Rp),(1564,Rp),(1621,Lp),(1661,Rp),(1979,Rp),(1988,Rp)]",1988,Rp,0.6666667
22,"[(23,Lp),(511,Lp),(943,Rp),(1468,Lp),(1641,Rp),(1883,Lp),(1972,Lp)]",23,Lp,0.71428573
23,"[(512,Lp),(925,Lp),(926,Lp),(927,Lp),(1472,Rp),(1473,Lp),(1569,Lp)]",512,Lp,0.85714287
24,"[(492,Rp),(1938,Rp)]",1938,Rp,1.0
25,"[(26,Rp),(517,Lp),(1103,Rp),(1266,Lp),(1517,Lp),(1974,Rp)]",26,Lp,0.5
26,"[(27,Noth),(751,Noth),(753,Noth),(794,Noth),(971,Rp),(1192,Noth),(1787,Rp),(1925,Rp)]",27,Noth,0.625
27,"[(28,Lp),(1597,Lp),(1945,Lp)]",28,Lp,1.0
28,"[(29,Lp),(1380,Lp),(1382,Lp),(1384,Lp),(1412,Rp),(1413,Noth),(1416,Noth)]",1382,Lp,0.5714286
29,"[(30,Lp),(495,Lp),(1383,Lp),(1385,Lp)]",1385,Lp,1.0
30,"[(31,Noth),(33,Noth),(497,Noth),(698,Noth),(760,Rp),(845,Noth),(1394,Noth),(1396,Noth),(1398,Noth)]",1398,Noth,0.8888889
31,"[(32,Noth),(34,Rp),(843,Rp),(849,Rp),(1395,Noth),(1397,Rp),(1399,Rp)]",1399,Rp,0.71428573
32,"[(657,Rp),(842,Rp),(868,Noth),(1026,Lp),(1161,Lp),(1168,Noth),(1172,Noth),(1174,Noth),(1177,Noth),(1201,Noth)]",1168,Noth,0.6
33,"[(498,Noth),(499,Rp),(1318,Rp)]",498,Rp,0.6666667
34,"[(35,Rp),(707,Noth),(1386,Rp),(1388,Rp),(1390,Noth)]",1388,Rp,0.6
35,"[(36,Noth),(696,Rp),(699,Rp),(723,Noth),(1387,Noth),(1391,Noth)]",1387,Noth,0.6666667
36,"[(37,Rp),(833,Rp),(1400,Rp),(1506,Lp)]",1400,Rp,0.75
37,"[(38,Noth),(1389,Noth),(1401,Noth),(1403,Noth),(1470,Noth)]",1401,Noth,1.0
38,"[(39,Noth),(1402,Noth),(1404,Noth)]",1404,Noth,1.0
