cIdx,spList,medoid,prior,purity
0,"[(1,Rp),(239,Lp),(243,Rp),(244,Noth),(461,Lp),(906,Rp),(1043,Rp),(1601,Rp),(1662,Rp),(1784,Rp),(1785,Rp),(1896,Rp),(1948,Rp)]",906,Rp,0.7692308
1,"[(2,Rp),(226,Rp),(227,Rp),(228,Rp),(230,Rp),(240,Noth),(242,Rp),(706,Rp),(917,Lp),(1480,Lp)]",228,Rp,0.7
2,"[(3,Rp),(266,Rp),(283,Rp),(303,Rp),(306,Rp),(714,Rp),(759,Noth),(1076,Rp),(1090,Rp),(1092,Rp),(1094,Rp),(1170,Rp),(1448,Rp),(1463,Rp),(1540,Rp),(1543,Rp),(1563,Rp),(1929,Rp)]",1076,Rp,0.9444444
3,"[(4,Lp),(835,Lp),(920,Rp),(924,Lp),(1466,Lp),(1919,Rp)]",4,Lp,0.6666667
4,"[(5,Lp),(374,Rp),(377,Rp),(1530,Rp),(1611,Rp),(1681,Rp),(1772,Noth),(1773,Noth),(1809,Noth),(1810,Noth),(1869,Rp),(1880,Rp)]",1611,Rp,0.5833333
5,"[(6,Rp),(225,Rp),(237,Rp),(361,Noth),(463,Lp),(465,Lp),(1038,Rp),(1062,Rp),(1286,Noth),(1367,Noth),(1368,Rp),(1653,Rp),(1781,Lp),(1895,Lp),(1904,Rp)]",1895,Rp,0.53333336
6,"[(7,Rp),(11,Rp),(1068,Rp),(1255,Rp),(1450,Rp),(1614,Rp),(1616,Rp),(1654,Rp),(1655,Noth),(1774,Rp)]",1655,Rp,0.9
7,"[(8,Lp),(754,Noth)]",8,Lp,0.5
8,"[(9,Noth),(10,Noth),(516,Rp),(1786,Lp)]",9,Noth,0.5
9,"[(379,Rp),(532,Lp),(533,Lp),(704,Rp),(891,Lp),(1102,Rp),(1449,Rp),(1607,Rp),(1608,Rp),(1612,Rp),(1615,Rp),(1682,Noth),(1684,Noth),(1685,Noth),(1762,Noth),(1763,Noth),(1764,Rp),(1771,Rp),(1795,Rp),(1821,Noth),(1822,Noth),(1858,Noth),(1859,Noth),(1871,Noth),(1879,Rp),(1905,Rp)]",1607,Rp,0.5
10,"[(218,Lp),(247,Rp),(697,Rp),(955,Rp),(1256,Noth),(1257,Noth),(1258,Noth),(1259,Noth),(1469,Rp),(1471,Noth),(1508,Lp)]",1257,Noth,0.45454547
11,"[(12,Rp)]",12,Rp,1.0
12,"[(13,Rp),(16,Rp),(861,Noth)]",13,Rp,0.6666667
13,"[(14,Noth),(21,Rp),(687,Noth)]",21,Noth,0.6666667
14,"[(262,Rp),(284,Rp),(345,Rp),(347,Rp),(362,Rp),(420,Rp),(422,Rp),(431,Rp),(445,Noth),(523,Noth),(524,Noth),(530,Noth),(572,Noth),(580,Rp),(627,Noth),(632,Noth),(633,Noth),(634,Noth),(681,Noth),(683,Noth),(688,Rp),(690,Rp),(840,Noth),(903,Rp),(1025,Noth),(1077,Rp),(1156,Noth),(1280,Noth),(1494,Noth),(1544,Rp),(1927,Noth),(1930,Rp)]",262,Noth,0.53125
15,"[(276,Noth),(307,Lp),(520,Lp),(541,Lp),(558,Noth),(567,Lp),(1004,Noth),(1021,Lp),(1232,Rp),(1863,Lp),(1864,Lp)]",567,Lp,0.6363636
16,"[(15,Rp),(17,Rp),(1137,Noth),(1233,Rp)]",15,Rp,0.75
17,"[(18,Noth),(860,Lp)]",18,Lp,0.5
18,"[(19,Rp)]",19,Rp,1.0
19,"[(20,Rp),(960,Rp),(1183,Lp)]",20,Rp,0.6666667
20,"[(555,Rp),(557,Rp),(561,Noth),(575,Noth),(576,Rp),(578,Rp),(985,Noth),(986,Rp),(988,Noth),(989,Rp),(990,Noth),(995,Rp),(996,Noth)]",990,Rp,0.53846157
21,"[(22,Lp),(287,Rp),(426,Lp),(661,Noth),(666,Noth),(721,Rp),(1022,Lp),(1197,Rp),(1210,Rp),(1485,Rp),(1564,Rp),(1621,Lp),(1661,Rp),(1794,Rp),(1979,Rp),(1988,Rp)]",1988,Rp,0.625
